Sno	Plant name	Plant Part	Plant Subpart	Therapeutic use	UMLS identifier	MeSH identifier	ICD11 identifier	Reference
346	Cymbopogon citratus	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-8, P-524, RIMP
347	Cymbopogon citratus	leaf	leaf	Antiviral Agents	C0003451	D000998		Vol-8, P-567, RIMP
348	Cymbopogon jwarancusa	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-8, P-571, RIMP
349	Cymbopogon martini	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-8, P-573, RIMP
350	Cymbopogon martini	leaf	leaf	Antihelmintics	C0003158	D000871	XM4EC0	Vol-8, P-574, RIMP
351	Decalepis hamiltonii	root	root	Antimicrobial activity function	C1321418	D000890		Vol-9, P-198, RIMP
352	Elettaria cardamomum	fruit	fruit	Anti-Bacterial Agents	C0279516	D000900		Vol-10, P-187, RIMP
353	Elettaria cardamomum	fruit	fruit	Antifungal Agents	C0003308	D000935		Vol-10, P-188, RIMP
354	Elsholtzia fruticosa	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-10, P-247, RIMP
355	Elsholtzia fruticosa	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-10, P-247, RIMP
356	Eucalyptus globulus	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-10, P-757, RIMP
357	Limonia acidissima	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		Vol-11, P-80, RIMP
358	Limonia acidissima	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-11, P-81, RIMP
359	Limonia acidissima	leaf	leaf	Antihelmintics	C0003158	D000871	XM4EC0	Vol-11, P-82, RIMP
360	Hedychium coronarium	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-12, P-106, RIMP
361	Hedychium coronarium	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-12, P-106, RIMP
362	Hedychium coronarium	rhizome	rhizome	Antihelmintics	C0003158	D000871	XM4EC0	Vol-12, P-107, RIMP
363	Hedychium larsenii	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-12, P-107, RIMP
364	Hedychium spicatum	rhizome	rhizome	Tranquilizing Agents	C0040614	D014149		Vol-12, P-109, RIMP
365	Hedychium spicatum	rhizome	rhizome	Antifungal Agents	C0003308	D000935		Vol-12, P-113, RIMP
366	Hedychium spicatum	rhizome	rhizome	Antihelmintics	C0003158	D000871	XM4EC0	Vol-12, P-114, RIMP
367	Hedychium spicatum	rhizome	rhizome	Pediculicide [EPC- FDA SPL established pharmacologic class]	C3536707			Vol-12, P-114, RIMP
368	Tetrataenium aquilegifolium	fruit	fruit	antioxidant activity	C1148564	D000975		Vol-12, P-383, RIMP
